j=400 t=  66 haar                P=0.0127 G=0.0007 cert1=0.2268 cert1=0.227 cert2=0.152 cert4=0.091 cert8=0.054 cert16=0.062 cert32=0.050 | winmax 8:0.208 16:0.120 32:0.067 | frac>0.10 8:0.08 16:0.02 32:0.00
j=400 t=  66 xi=2^m              P=0.3400 G=0.3274 cert1=0.3861 cert1=0.386 cert2=0.385 cert4=0.382 cert8=0.377 cert16=0.388 cert32=0.382 | winmax 8:0.398 16:0.398 32:0.398 | frac>0.10 8:0.98 16:0.99 32:1.00
j=800 t=   1 true   lam=1        P=0.0091 G=0.0027 cert1=0.2754 cert1=0.275 cert2=0.178 cert4=0.102 cert8=0.061 cert16=0.034 cert32=0.050 | winmax 8:0.139 16:0.081 32:0.051 | frac>0.10 8:0.11 16:0.00 32:0.00
j=800 t=   7 true   lam=1        P=0.0083 G=0.0024 cert1=0.2731 cert1=0.273 cert2=0.176 cert4=0.101 cert8=0.059 cert16=0.033 cert32=0.049 | winmax 8:0.139 16:0.081 32:0.051 | frac>0.10 8:0.10 16:0.00 32:0.00
j=800 t= 133 true   lam=1        P=0.0077 G=0.0019 cert1=0.2547 cert1=0.255 cert2=0.160 cert4=0.088 cert8=0.051 cert16=0.030 cert32=0.047 | winmax 8:0.139 16:0.081 32:0.045 | frac>0.10 8:0.06 16:0.00 32:0.00
j=800 t= 800 true   lam=1        P=0.0142 G=0.0066 cert1=0.2811 cert1=0.281 cert2=0.184 cert4=0.107 cert8=0.065 cert16=0.039 cert32=0.055 | winmax 8:0.147 16:0.081 32:0.048 | frac>0.10 8:0.18 16:0.00 32:0.00
j=800 t=4000 true   lam=1        P=0.0112 G=0.0043 cert1=0.2865 cert1=0.286 cert2=0.179 cert4=0.099 cert8=0.056 cert16=0.034 cert32=0.050 | winmax 8:0.190 16:0.099 32:0.054 | frac>0.10 8:0.04 16:0.00 32:0.00
j=800 t=   1 true   lam=3        P=0.0109 G=0.0039 cert1=0.2842 cert1=0.284 cert2=0.185 cert4=0.109 cert8=0.067 cert16=0.035 cert32=0.051 | winmax 8:0.145 16:0.078 32:0.049 | frac>0.10 8:0.10 16:0.00 32:0.00
j=800 t=   7 true   lam=3        P=0.0095 G=0.0030 cert1=0.2801 cert1=0.280 cert2=0.183 cert4=0.108 cert8=0.066 cert16=0.035 cert32=0.050 | winmax 8:0.145 16:0.078 32:0.049 | frac>0.10 8:0.10 16:0.00 32:0.00
j=800 t= 133 true   lam=3        P=0.0093 G=0.0026 cert1=0.2643 cert1=0.264 cert2=0.164 cert4=0.095 cert8=0.053 cert16=0.031 cert32=0.046 | winmax 8:0.145 16:0.076 32:0.043 | frac>0.10 8:0.07 16:0.00 32:0.00
j=800 t= 800 true   lam=3        P=0.0133 G=0.0064 cert1=0.2885 cert1=0.289 cert2=0.181 cert4=0.106 cert8=0.063 cert16=0.038 cert32=0.053 | winmax 8:0.153 16:0.090 32:0.050 | frac>0.10 8:0.14 16:0.00 32:0.00
j=800 t=4000 true   lam=3        P=0.0102 G=0.0030 cert1=0.2792 cert1=0.279 cert2=0.178 cert4=0.099 cert8=0.056 cert16=0.032 cert32=0.049 | winmax 8:0.173 16:0.094 32:0.047 | frac>0.10 8:0.03 16:0.00 32:0.00
j=800 t=   1 true   lam=5        P=0.0112 G=0.0033 cert1=0.2662 cert1=0.266 cert2=0.168 cert4=0.101 cert8=0.057 cert16=0.032 cert32=0.048 | winmax 8:0.142 16:0.081 32:0.042 | frac>0.10 8:0.05 16:0.00 32:0.00
j=800 t=   7 true   lam=5        P=0.0083 G=0.0012 cert1=0.2638 cert1=0.264 cert2=0.168 cert4=0.099 cert8=0.056 cert16=0.032 cert32=0.048 | winmax 8:0.142 16:0.081 32:0.042 | frac>0.10 8:0.05 16:0.00 32:0.00
j=800 t= 133 true   lam=5        P=0.0102 G=0.0042 cert1=0.2657 cert1=0.266 cert2=0.169 cert4=0.100 cert8=0.057 cert16=0.035 cert32=0.049 | winmax 8:0.150 16:0.081 32:0.045 | frac>0.10 8:0.05 16:0.00 32:0.00
j=800 t= 800 true   lam=5        P=0.0111 G=0.0044 cert1=0.2773 cert1=0.277 cert2=0.174 cert4=0.101 cert8=0.061 cert16=0.036 cert32=0.051 | winmax 8:0.151 16:0.076 32:0.050 | frac>0.10 8:0.05 16:0.00 32:0.00
j=800 t=4000 true   lam=5        P=0.0083 G=0.0020 cert1=0.2770 cert1=0.277 cert2=0.175 cert4=0.102 cert8=0.057 cert16=0.034 cert32=0.050 | winmax 8:0.172 16:0.091 32:0.051 | frac>0.10 8:0.09 16:0.00 32:0.00
j=800 t=   1 true   lam=17       P=0.0110 G=0.0028 cert1=0.2832 cert1=0.283 cert2=0.178 cert4=0.101 cert8=0.058 cert16=0.033 cert32=0.048 | winmax 8:0.151 16:0.082 32:0.044 | frac>0.10 8:0.08 16:0.00 32:0.00
j=800 t=   7 true   lam=17       P=0.0093 G=0.0024 cert1=0.2817 cert1=0.282 cert2=0.179 cert4=0.100 cert8=0.057 cert16=0.032 cert32=0.048 | winmax 8:0.151 16:0.082 32:0.044 | frac>0.10 8:0.07 16:0.00 32:0.00
j=800 t= 133 true   lam=17       P=0.0104 G=0.0035 cert1=0.2750 cert1=0.275 cert2=0.172 cert4=0.094 cert8=0.055 cert16=0.032 cert32=0.048 | winmax 8:0.147 16:0.077 32:0.043 | frac>0.10 8:0.07 16:0.00 32:0.00
j=800 t= 800 true   lam=17       P=0.0095 G=0.0044 cert1=0.2830 cert1=0.283 cert2=0.180 cert4=0.103 cert8=0.059 cert16=0.034 cert32=0.052 | winmax 8:0.149 16:0.077 32:0.048 | frac>0.10 8:0.06 16:0.00 32:0.00
j=800 t=4000 true   lam=17       P=0.0096 G=0.0038 cert1=0.2824 cert1=0.282 cert2=0.180 cert4=0.103 cert8=0.062 cert16=0.036 cert32=0.053 | winmax 8:0.139 16:0.078 32:0.045 | frac>0.10 8:0.07 16:0.00 32:0.00
j=800 t= 133 haar                P=0.0108 G=0.0039 cert1=0.2818 cert1=0.282 cert2=0.179 cert4=0.105 cert8=0.061 cert16=0.036 cert32=0.051 | winmax 8:0.156 16:0.078 32:0.046 | frac>0.10 8:0.08 16:0.00 32:0.00
j=800 t= 133 haar                P=0.0090 G=0.0036 cert1=0.2741 cert1=0.274 cert2=0.169 cert4=0.096 cert8=0.054 cert16=0.031 cert32=0.049 | winmax 8:0.133 16:0.068 32:0.041 | frac>0.10 8:0.05 16:0.00 32:0.00
j=800 t= 133 haar                P=0.0091 G=0.0024 cert1=0.2666 cert1=0.267 cert2=0.163 cert4=0.093 cert8=0.054 cert16=0.031 cert32=0.049 | winmax 8:0.159 16:0.094 32:0.050 | frac>0.10 8:0.05 16:0.00 32:0.00
j=800 t= 133 haar                P=0.0085 G=0.0027 cert1=0.2766 cert1=0.277 cert2=0.178 cert4=0.105 cert8=0.064 cert16=0.040 cert32=0.054 | winmax 8:0.229 16:0.115 32:0.060 | frac>0.10 8:0.07 16:0.01 32:0.00
j=800 t= 133 xi=2^m              P=0.3525 G=0.3434 cert1=0.3924 cert1=0.392 cert2=0.392 cert4=0.390 cert8=0.388 cert16=0.385 cert32=0.398 | winmax 8:0.399 16:0.399 32:0.399 | frac>0.10 8:0.99 16:1.00 32:1.00
