c=0 N=200  p_N = 5.456704e-08
   q   C_haar(q)    
    1   0.0000e+00
    2   1.0836e+00
    3   1.7496e+00
    4   2.6641e+00
    5   3.9765e+00
    6   5.2486e+00
    7   6.7585e+00
    8   8.6583e+00
    9   1.0572e+01
   10   1.2754e+01
   11   1.5185e+01
   12   1.7938e+01
   13   2.1076e+01
   14   2.4519e+01
   15   2.8369e+01
   16   3.2719e+01
   17   3.7442e+01
   18   4.2682e+01
   19   4.8459e+01
   20   5.4843e+01
   21   6.1901e+01
   22   6.9625e+01
   23   7.8110e+01
   24   8.7445e+01
   25   9.7603e+01
   26   1.0871e+02
   27   1.2088e+02
   28   1.3405e+02
   29   1.4839e+02
   30   1.6396e+02
   31   1.8088e+02
   32   1.9926e+02
   33   2.1913e+02
   34   2.4065e+02
   35   2.6397e+02
   36   2.8909e+02
   37   3.1621e+02
   38   3.4546e+02
   39   3.7697e+02
   40   4.1093e+02
   41   4.4743e+02
   42   4.8668e+02
   43   5.2887e+02
   44   5.7410e+02
