U=0: B(X) = min_N [(X/2)p_N + W_U(N)],  H2(1/alpha) = 0.949956
  log2X   N*   log2B(X)   B/X^H2     B/(X^H2 (log2X)^-1.5)   B/(X^H2 (log2X)^-0.5)
     100    61       88.24  9.260e-03     9.2599      0.0926
     350   220      323.25  1.666e-03    10.9077      0.0312
     600   377      559.62  7.643e-04    11.2336      0.0187
     850   535      796.36  4.539e-04    11.2491      0.0132
    1100   692     1033.35  3.209e-04    11.7065      0.0106
    1350   851     1270.39  2.357e-04    11.6893      0.0087
    1600  1008     1507.52  1.834e-04    11.7388      0.0073
    1850  1165     1744.71  1.497e-04    11.9112      0.0064
    2100  1323     1981.90  1.214e-04    11.6859      0.0056
    2350  1482     2219.14  1.022e-04    11.6384      0.0050
    2600  1639     2456.41  8.805e-05    11.6730      0.0045
    2850  1796     2693.76  7.960e-05    12.1106      0.0042
    3100  1955     2931.05  6.942e-05    11.9825      0.0039
    3350  2112     3168.36  6.136e-05    11.8976      0.0036
    3600  2270     3405.67  5.418e-05    11.7021      0.0033
    3850  2427     3643.05  5.029e-05    12.0148      0.0031
